77.88.8.2            : [13], 64 bytes, 294 ms (293 avg, 0% loss)
77.88.8.7            : [13], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [13], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [14], 64 bytes, 5.84 ms (9.91 avg, 0% loss)
8.8.4.4              : [14], 64 bytes, 7.55 ms (6.77 avg, 0% loss)
208.67.220.123       : [14], 64 bytes, 6.76 ms (6.71 avg, 0% loss)
216.146.35.35        : [13], timed out (NaN avg, 100% loss)
216.146.36.36        : [13], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [14], 64 bytes, 6.18 ms (6.44 avg, 0% loss)
80.80.80.80          : [14], 64 bytes, 58.9 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [14], 64 bytes, 7.05 ms (6.33 avg, 0% loss)
80.80.81.81          : [14], 64 bytes, 58.6 ms (57.5 avg, 0% loss)
2620:119:35::35      : [14], 64 bytes, 7.38 ms (6.68 avg, 0% loss)
2620:fe::fe          : [14], 64 bytes, 6.10 ms (6.12 avg, 0% loss)
2a10:50c0::ad1:ff    : [14], 64 bytes, 5.82 ms (6.40 avg, 0% loss)
8.26.56.26           : [14], 64 bytes, 73.6 ms (73.9 avg, 0% loss)
2606:4700:4700::1111 : [14], 64 bytes, 6.26 ms (6.62 avg, 0% loss)
8.20.247.20          : [14], 64 bytes, 74.5 ms (74.5 avg, 0% loss)
180.76.76.76         : [14], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [14], 64 bytes, 168 ms (166 avg, 0% loss)
77.88.8.8            : [14], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.88           : [14], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [14], 64 bytes, 300 ms (301 avg, 0% loss)
77.88.8.2            : [14], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [14], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [14], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [15], 64 bytes, 13.1 ms (10.1 avg, 0% loss)
8.8.4.4              : [15], 64 bytes, 6.59 ms (6.76 avg, 0% loss)
208.67.220.123       : [15], 64 bytes, 5.53 ms (6.64 avg, 0% loss)
216.146.35.35        : [14], timed out (NaN avg, 100% loss)
216.146.36.36        : [14], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [15], 64 bytes, 5.36 ms (6.38 avg, 0% loss)
80.80.80.80          : [15], 64 bytes, 57.8 ms (58.9 avg, 0% loss)
2001:4860:4860::8844 : [15], 64 bytes, 5.08 ms (6.26 avg, 0% loss)
80.80.81.81          : [15], 64 bytes, 56.2 ms (57.5 avg, 0% loss)
2620:119:35::35      : [15], 64 bytes, 5.41 ms (6.60 avg, 0% loss)
2620:fe::fe          : [15], 64 bytes, 5.05 ms (6.05 avg, 0% loss)
